iter	Passed	Remaining
406	698	1018
407	700	1016
408	702	1014
409	703	1012
410	704	1010
411	706	1008
412	707	1006
413	709	1004
414	710	1002
415	712	1000
416	714	998
417	715	996
418	717	994
419	718	992
420	720	990
421	721	988
422	723	986
423	724	984
424	726	982
425	727	980
426	729	979
427	731	977
428	732	975
429	734	973
430	735	971
431	737	969
432	739	967
433	740	965
434	742	963
435	743	962
436	745	960
437	746	958
438	748	956
439	749	954
440	751	952
441	752	950
442	754	948
443	755	946
444	757	944
445	758	942
446	760	940
447	761	938
448	763	936
449	764	934
450	766	932
451	767	930
452	769	929
453	771	927
454	772	925
455	774	923
456	775	921
457	777	919
458	778	917
459	780	915
460	781	913
461	783	912
